#{"t_start": 1706610538.8116398, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9525,19,262.012908
0.9275,29,262.039929
0.9225,31,262.065609
0.9525,19,262.082828
0.925,30,262.110071
0.88,48,262.156218
0.9125,35,262.189925
0.9175,33,262.219814
0.9225,31,262.248007
0.9325,27,262.273036
0.9025,39,262.318836
0.93,28,262.345766
0.915,34,262.377839
0.9575,17,262.394127
0.95,20,262.411843
0.905,38,262.445629
0.925,30,262.471757
0.9025,39,262.507852
0.92,32,262.535503
0.9425,23,262.555816
0.9525,19,262.571849
0.9125,35,262.603824
0.925,30,262.63164
0.9225,31,262.660961
0.895,42,262.697511
0.955,18,262.713946
0.935,26,262.738657
0.92,32,262.766247
0.9025,39,262.801666
0.925,30,262.829771
0.94,24,262.850065
0.9575,17,262.866976
0.8975,41,262.905531
0.9325,27,262.931896
0.93,28,262.958198
0.9375,25,262.981507
0.8875,45,263.023566
0.9325,27,263.049914
0.9625,15,263.063128
0.9475,21,263.082445
0.8825,47,263.125168
0.9475,21,263.145463
0.92,32,263.175095
0.9425,23,263.196262
0.945,22,263.215796
0.94,24,263.251655
0.9225,31,263.280864
0.9525,19,263.298154
0.8775,49,263.340117
0.825,70,263.402852
0.9,40,263.439374
0.9375,25,263.461818
0.9675,13,263.47414
0.875,50,263.519014
0.97,12,263.53064
0.9275,29,263.55581
0.9025,39,263.589772
0.975,10,266.816802
0.7975,81,266.886424
0.9325,27,266.909774
0.9425,23,266.930586
0.9575,17,266.945981
0.9675,13,266.957045
0.9575,17,266.973487
0.9375,25,266.99668
0.9325,27,267.021668
0.905,38,267.055659
0.9475,21,267.074959
0.9275,29,267.100247
0.9125,35,267.132504
0.9725,11,267.144356
0.96,16,267.158574
0.94,24,267.181765
0.945,22,267.20203
0.9525,19,267.219001
0.84,64,267.274339
0.945,22,267.294522
0.9075,37,267.329188
0.965,14,267.340735
0.92,32,267.381612
0.8075,77,267.450437
0.9525,19,267.467908
0.935,26,267.492884
0.945,22,267.510536
0.9525,19,267.527997
0.9375,25,267.549795
0.9575,17,267.564086
0.925,30,267.590326
0.9375,25,267.614711
0.96,16,267.63034
0.9225,31,267.65874
0.9075,37,267.690692
0.9575,17,267.706919
0.93,28,267.731723
0.9375,25,267.753649
0.8875,45,267.796885
0.84,64,267.853447
0.955,18,267.868072
0.9275,29,267.895106
0.9025,39,267.930097
0.9325,27,267.954035
0.925,30,267.982848
0.945,22,268.002002
0.9575,17,268.016849
0.92,32,268.046845
0.905,38,268.081617
0.9625,15,268.093921
0.9425,23,268.114163
0.9475,21,268.132873
0.935,26,268.156183
0.9775,9,268.163408
0.9725,11,268.173122
0.7,120,268.289496
0.9425,23,268.310161
0.95,20,268.330227
0.96,16,268.344482
0.9575,17,268.36019
0.9675,13,268.372825
0.9575,17,268.389424
0.9475,21,268.409626
0.9675,13,268.421802
0.69,124,268.530506
0.89,44,268.571798
0.965,14,268.583837
0.8975,41,268.622241
0.94,24,268.643763
0.93,28,268.668097
0.945,22,271.912767
0.9025,39,271.946196
0.925,30,271.972767
0.9425,23,271.993342
0.93,28,272.017095
0.965,14,272.03046
0.91,36,272.062214
0.9375,25,272.083862
0.935,26,272.107204
0.9425,23,272.127125
0.955,18,272.143524
0.945,22,272.164018
0.955,18,272.181845
0.94,24,272.203261
0.9475,21,272.222893
0.915,34,272.254496
0.9475,21,272.274285
0.945,22,272.295688
0.9725,11,272.307321
0.9575,17,272.321977
0.88,48,272.364147
0.96,16,272.378878
0.9425,23,272.399282
0.95,20,272.42978
0.91,36,272.466433
0.9475,21,272.487192
0.95,20,272.50488
0.9425,23,272.527803
0.94,24,272.549026
0.9375,25,272.571827
0.94,24,272.595201
0.925,30,272.624646
0.8875,45,272.666316
0.9275,29,272.693283
0.9525,19,272.711696
0.94,24,272.73363
0.9325,27,272.759079
0.9525,19,272.776475
0.805,78,272.847849
0.95,20,272.867066
0.97,12,272.877796
0.8925,43,272.917882
0.945,22,272.938802
0.925,30,272.965803
0.9375,25,272.990431
0.9675,13,273.001615
0.8975,41,273.040098
0.93,28,273.067055
0.9675,13,273.078733
0.9675,13,273.09032
0.93,28,273.11736
0.965,14,273.132005
0.9725,11,273.141623
0.96,16,273.15783
0.96,16,273.174846
0.92,32,273.205096
0.9375,25,273.229141
0.96,16,273.243385
0.945,22,273.266127
0.9375,25,273.289511
0.945,22,273.311883
0.945,22,273.333261
0.925,30,273.363196
0.96,16,273.38878
0.9175,33,273.421761
0.9475,21,273.441806
0.755,98,273.532005
0.97,12,273.542742
0.95,20,273.561035
0.955,18,273.576715
0.9125,35,273.607493
0.91,36,273.640565
0.955,18,273.657908
0.97,12,273.668173
0.9125,35,273.700517
0.94,24,273.722216
0.9625,15,273.736505
0.935,26,273.760768
0.9625,15,273.7751
0.915,34,273.808023
0.9325,27,273.836002
0.98,8,277.119324
0.9575,17,277.135418
0.9475,21,277.152809
0.9275,29,277.17958
0.96,16,277.194843
0.9525,19,277.212056
0.96,16,277.227034
0.9575,17,277.243348
0.9625,15,277.258996
0.965,14,277.272846
0.9725,11,277.282475
0.96,16,277.297501
0.9475,21,277.318
0.9175,33,277.348276
0.9475,21,277.36884
0.96,16,277.384161
0.91,36,277.4171
0.9575,17,277.431918
0.95,20,277.450309
0.975,10,277.459388
0.97,12,277.470066
0.7875,85,277.544906
0.9425,23,277.566435
0.94,24,277.600543
0.9625,15,277.616029
0.94,24,277.639648
0.94,24,277.66329
0.955,18,277.679448
0.9675,13,277.691669
0.945,22,277.710891
0.945,22,277.730029
0.9625,15,277.743854
0.9525,19,277.76016
0.975,10,277.771015
0.9775,9,277.779592
0.965,14,277.791824
0.94,24,277.812976
0.9725,11,277.822561
0.96,16,277.836963
0.9475,21,277.857262
0.955,18,277.872533
0.8825,47,277.913046
0.94,24,277.936348
0.95,20,277.953661
0.9275,29,277.980888
0.885,46,278.023102
0.955,18,278.040323
0.8975,41,278.076945
0.9525,19,278.094284
0.9275,29,278.120616
0.9475,21,278.140388
0.965,14,278.152897
0.9575,17,278.170655
0.925,30,278.198188
0.9675,13,278.210831
0.9725,11,278.220553
0.9575,17,278.237077
0.9575,17,278.253086
0.96,16,278.266513
0.88,48,278.310103
0.95,20,278.328165
0.935,26,278.35019
0.96,16,278.367959
0.91,36,278.400535
0.9625,15,278.415188
0.9375,25,278.437229
0.9425,23,278.45644
0.9,40,278.492101
0.9425,23,278.526242
0.97,12,278.537081
0.9325,27,278.561849
0.9475,21,278.582051
0.9675,13,278.593843
0.935,26,278.62203
0.945,22,278.643894
0.9575,17,278.659183
0.93,28,278.685229
0.955,18,278.701602
0.9725,11,278.711647
0.9725,11,278.722495
0.9525,19,278.74085
0.955,18,278.758077
0.9225,31,278.786164
0.9525,19,278.803111
0.9525,19,278.819776
0.965,14,278.833672
0.965,14,278.846248
0.9575,17,278.862041
0.93,28,278.888946
0.94,24,278.910198
0.98,8,278.917894
0.77,92,279.004195
0.945,22,279.023442
0.945,22,282.410355
0.965,14,282.423858
0.9475,21,282.442697
0.9325,27,282.468294
0.9425,23,282.488118
0.9075,37,282.522744
0.8925,43,282.560468
0.9425,23,282.581702
0.915,34,282.613233
0.955,18,282.630034
0.915,34,282.66259
0.605,158,282.805441
0.9525,19,282.825494
0.975,10,282.835113
0.95,20,282.853327
0.9675,13,282.864783
0.9525,19,282.882035
0.905,38,282.917078
0.965,14,282.929635
0.935,26,282.953566
0.94,24,282.976158
0.95,20,282.994574
0.9575,17,283.009783
0.965,14,283.022991
0.9625,15,283.036589
0.95,20,283.054982
0.9575,17,283.070683
0.885,46,283.114005
0.9625,15,283.127503
0.965,14,283.140757
0.8975,41,283.178454
0.7975,81,283.253137
0.8625,55,283.302142
0.8975,41,283.338699
0.935,26,283.361049
0.94,24,283.384143
0.9325,27,283.409395
0.9575,17,283.424046
0.965,14,283.436332
0.9625,15,283.449135
0.96,16,283.46349
0.9725,11,283.473126
0.8075,77,283.543015
0.9525,19,283.559842
0.945,22,283.579289
0.9525,19,283.596606
0.9175,33,283.62656
0.925,30,283.655225
0.96,16,283.668794
0.9625,15,283.684008
0.8675,53,283.730207
0.8775,49,283.779183
0.9625,15,283.793629
0.9675,13,283.806151
0.97,12,283.81681
0.97,12,283.827346
0.885,46,283.867513
0.98,8,283.876113
0.9575,17,283.891875
0.87,52,283.938187
0.8975,41,283.974943
0.9425,23,283.995284
0.9325,27,284.018607
0.9575,17,284.034375
0.95,20,284.051734
0.975,10,284.060098
0.935,26,284.084825
0.9675,13,284.097402
0.965,14,284.110045
0.8825,47,284.15414
0.9675,13,284.166329
0.8875,45,284.206275
0.9375,25,284.228401
0.94,24,284.250474
0.6775,129,287.659236
0.925,30,287.687434
0.9325,27,287.710829
0.8975,41,287.747288
0.9275,29,287.77216
0.9625,15,287.786934
0.9625,15,287.80049
0.9275,29,287.829373
0.9475,21,287.848303
0.9625,15,287.863527
0.965,14,287.876307
0.9525,19,287.894492
0.915,34,287.926055
0.0,360,288.264414
0.0,360,288.588571
0.9375,25,288.613509
0.94,24,288.635953
0.9475,21,288.655993
0.945,22,288.676225
0.92,32,288.707268
0.95,20,288.725695
0.9375,25,288.748641
0.975,10,288.757216
0.96,16,288.77205
0.9575,17,288.786358
0.96,16,288.800922
0.965,14,288.813303
0.9625,15,288.828191
0.9625,15,288.844071
0.9475,21,288.863373
0.965,14,288.880314
0.9375,25,288.904248
0.955,18,288.922459
0.93,28,288.947061
0.965,14,288.960815
0.9575,17,288.977108
0.955,18,288.994389
0.9175,33,289.024477
0.9375,25,289.045969
0.955,18,289.063173
0.93,28,289.088392
0.955,18,289.104733
0.9525,19,289.121925
0.935,26,289.145048
0.8975,41,289.182521
0.9675,13,289.194202
0.9725,11,289.203908
0.9525,19,289.220556
0.9375,25,289.244616
0.97,12,289.255321
0.9325,27,289.280326
0.9575,17,289.296354
0.8825,47,289.339595
0.9475,21,289.358752
0.9775,9,289.367429
0.78,88,289.44536
0.9475,21,292.718487
0.9575,17,292.734733
0.9625,15,292.748119
0.97,12,292.759846
0.9475,21,292.779219
0.95,20,292.797292
0.945,22,292.818597
0.9325,27,292.843093
0.97,12,292.853492
0.965,14,292.867039
0.9525,19,292.884112
0.8125,75,292.950753
0.9625,15,292.963801
0.9725,11,292.973619
0.97,12,292.985377
0.9525,19,293.003621
0.96,16,293.017299
0.9625,15,293.032619
0.9725,11,293.045402
0.945,22,293.067269
0.925,30,293.096217
0.955,18,293.112544
0.9,40,293.148681
0.8975,41,293.186955
0.9625,15,293.200598
0.9175,33,293.230866
0.975,10,293.238532
0.9325,27,293.264403
0.9475,21,293.282917
0.9175,33,293.312815
0.94,24,293.335592
0.9625,15,293.347796
0.9575,17,293.3651
0.96,16,293.378686
0.96,16,293.393966
0.9675,13,293.405427
0.935,26,293.428852
0.965,14,293.443157
0.9675,13,293.455007
0.9175,33,293.485107
0.9625,15,293.498762
0.9425,23,293.520114
0.9475,21,293.540767
0.965,14,293.553672
0.9575,17,293.568931
0.9025,39,293.604415
0.945,22,293.624819
0.9375,25,293.646302
0.95,20,293.665351
0.965,14,293.67715
0.9825,7,293.683154
0.9675,13,293.695191
0.945,22,293.714876
0.9575,17,293.730383
0.95,20,293.748375
0.9725,11,293.758351
0.9325,27,293.784117
0.97,12,293.794644
0.97,12,293.806242
0.945,22,293.827234
0.92,32,293.856208
0.9675,13,293.868824
0.98,8,293.877441
0.97,12,293.888523
